,2020-04-20_2020-07-11,2020-04-27_2020-07-18,2020-05-04_2020-07-25,2020-05-11_2020-08-01,2020-05-18_2020-08-08,2020-05-25_2020-08-15,2020-06-01_2020-08-22,2020-06-08_2020-08-29,2020-06-15_2020-09-05,2020-06-22_2020-09-12,2020-06-29_2020-09-19,2020-07-06_2020-09-26,2020-07-13_2020-10-03,2020-07-20_2020-10-10,2020-07-27_2020-10-17,2020-08-03_2020-10-24,2020-08-10_2020-10-31,2020-08-17_2020-11-07,2020-08-24_2020-11-14,2020-08-31_2020-11-21,2020-09-07_2020-11-28,2020-09-14_2020-12-05,2020-09-21_2020-12-12,2020-09-28_2020-12-19,2020-10-05_2020-12-26,2020-10-12_2021-01-02,2020-10-19_2021-01-09,2020-10-26_2021-01-16,2020-11-02_2021-01-23,2020-11-09_2021-01-30,2020-11-16_2021-02-06,2020-11-23_2021-02-13,2020-11-30_2021-02-20,2020-12-07_2021-02-27,2020-12-14_2021-03-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,,,,,,,
num_states_with_projections-Baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51
num_states_with_projections-IHME-CurveFit,51,49,51,51,51,,,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,,,51,,51,51
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
