,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,24896,20367.0,19289.9,16331.0,20641.0,,20332.7,10321.0,17357.0,6926.0,15305.0,15226.0,18717.6,16490.7,,11565.2,12165.7,16958.3,20182.2,20526.0,,14349.9,1703.0,13345.9,22771.5,19185.0,-4529.0,-5606.1,-8565.0,-4255.0,,-4563.3,-14575.0,-7539.0,-17970.0,-9591.0,-9670.0,-6178.4,-8405.3,,-13330.8,-12730.3,-7937.7,-4713.8,-4370.0,,-10546.1,-23193.0,-11550.1,-2124.5,-5711.0,False,False,True,,False,False,False,False,False,False,False,False,,False,False,False,False,True,,False,False,False,True,False
Alaska,4268,2550.0,2610.6,2496.0,2700.0,,2136.7,1730.0,2170.2,851.1,,,3265.8,2705.2,4451.1,1670.9,3111.4,2537.6,3052.8,4127.0,,3037.8,1096.0,1769.7,2478.9,2332.0,-1718.0,-1657.4,-1772.0,-1568.0,,-2131.3,-2538.0,-2097.8,-3416.9,,,-1002.2,-1562.8,183.1,-2597.1,-1156.6,-1730.4,-1215.2,-141.0,,-1230.2,-3172.0,-2498.3,-1789.1,-1936.0,True,False,True,,False,False,False,False,,,True,True,True,False,True,False,True,True,,True,False,False,False,False
Arizona,16373,10719.0,10721.2,9395.0,11488.0,,11823.1,1780.0,10075.8,3578.8,7487.0,7569.0,13608.9,8849.0,16347.3,6331.9,10443.7,7472.4,9016.1,11984.0,,4867.1,0.0,9827.5,19744.4,8491.0,-5654.0,-5651.8,-6978.0,-4885.0,,-4549.9,-14593.0,-6297.2,-12794.2,-8886.0,-8804.0,-2764.1,-7524.0,-25.7,-10041.1,-5929.3,-8900.6,-7356.9,-4389.0,,-11505.9,-16373.0,-6545.5,3371.4,-7882.0,True,False,True,,True,False,False,False,False,False,True,False,True,False,False,False,False,True,,False,False,False,True,False
Arkansas,18793,17310.0,17306.6,15784.0,15648.0,,18417.0,12706.0,12402.2,5918.2,12217.0,18809.0,23558.9,17712.8,16290.3,8266.2,22390.1,11696.6,15161.8,21028.0,,9048.8,7284.9,13359.2,16544.2,16083.0,-1483.0,-1486.4,-3009.0,-3145.0,,-376.0,-6087.0,-6390.8,-12874.8,-6576.0,16.0,4765.9,-1080.2,-2502.7,-10526.8,3597.1,-7096.4,-3631.2,2235.0,,-9744.2,-11508.1,-5433.8,-2248.8,-2710.0,False,False,False,,True,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,False
California,74163,66210.0,66785.5,60304.0,61628.0,,65464.0,35925.0,66313.4,21921.1,45403.0,47979.0,64040.6,58944.5,107453.6,68282.3,46057.2,51050.9,69281.7,69739.0,,50467.4,10442.4,49983.4,80278.7,62313.0,-7953.0,-7377.5,-13859.0,-12535.0,,-8699.0,-38238.0,-7849.6,-52241.9,-28760.0,-26184.0,-10122.4,-15218.5,33290.6,-5880.7,-28105.8,-23112.1,-4881.3,-4424.0,,-23695.6,-63720.6,-24179.6,6115.7,-11850.0,True,False,False,,False,False,True,False,False,False,False,False,False,True,False,False,True,True,,False,False,False,True,False
Colorado,20844,12132.0,11812.6,11747.0,12283.0,,13474.6,8375.0,15131.6,4043.5,7798.0,10451.0,18670.0,10053.5,15136.6,13179.0,10705.7,9650.9,12411.7,19108.0,,8814.5,9911.2,8528.8,8923.9,11405.0,-8712.0,-9031.4,-9097.0,-8561.0,,-7369.4,-12469.0,-5712.4,-16800.5,-13046.0,-10393.0,-2174.0,-10790.5,-5707.4,-7665.0,-10138.3,-11193.1,-8432.3,-1736.0,,-12029.5,-10932.8,-12315.2,-11920.1,-9439.0,False,False,True,,True,False,True,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,False,False
Connecticut,7755,5130.0,5261.5,4177.0,9243.0,,4469.9,1617.0,5413.5,1449.4,2074.0,3468.0,3322.3,4619.2,,7770.3,4013.7,2630.7,4416.2,6104.0,,805.5,6669.2,4300.0,3283.4,5030.0,-2625.0,-2493.5,-3578.0,1488.0,,-3285.1,-6138.0,-2341.5,-6305.6,-5681.0,-4287.0,-4432.7,-3135.8,,15.3,-3741.3,-5124.3,-3338.8,-1651.0,,-6949.5,-1085.8,-3455.0,-4471.6,-2725.0,True,False,True,,False,False,True,False,False,False,False,False,,True,False,False,False,True,,False,True,False,False,False
Delaware,2722,2907.0,2791.1,2398.0,4539.0,,2396.6,930.0,3301.4,1022.5,1804.0,1574.0,2563.4,2173.8,,2606.6,2031.4,2228.8,3088.5,6196.0,,3423.9,519.0,2264.8,2321.8,3035.0,185.0,69.1,-324.0,1817.0,,-325.4,-1792.0,579.4,-1699.5,-918.0,-1148.0,-158.6,-548.2,,-115.4,-690.6,-493.2,366.5,3474.0,,701.9,-2203.0,-457.2,-400.2,313.0,True,False,False,,False,False,False,False,False,False,True,False,,True,False,False,False,False,,False,False,False,False,False
District of Columbia,1233,774.0,357.9,629.0,638.0,,855.0,80.0,1165.6,259.3,224.0,571.0,946.8,613.9,,1466.4,677.1,656.5,902.9,185.0,,464.3,755.3,658.5,,686.0,-459.0,-875.1,-604.0,-595.0,,-378.0,-1153.0,-67.4,-973.7,-1009.0,-662.0,-286.2,-619.1,,233.4,-555.9,-576.5,-330.1,-1048.0,,-768.7,-477.7,-574.5,,-547.0,False,False,False,,True,False,True,False,False,False,True,False,,True,False,False,True,False,,False,False,False,,False
Florida,61660,47727.0,47120.8,42759.0,45247.0,,47981.9,14942.0,50318.8,15347.1,33382.0,35384.0,54509.7,40861.7,76956.6,46483.5,21948.4,33773.2,44665.2,52461.0,,28192.5,0.0,37999.5,63820.4,40521.0,-13933.0,-14539.2,-18901.0,-16413.0,,-13678.1,-46718.0,-11341.2,-46312.9,-28278.0,-26276.0,-7150.3,-20798.3,15296.6,-15176.5,-39711.6,-27886.8,-16994.8,-9199.0,,-33467.5,-61660.0,-23660.5,2160.4,-21139.0,False,False,False,,True,False,True,False,False,False,True,False,False,False,False,False,False,True,,False,False,False,True,False
