,2020-07-06_2020-08-08,2020-07-13_2020-08-15,2020-07-20_2020-08-22,2020-07-27_2020-08-29,2020-08-03_2020-09-05,2020-08-10_2020-09-12,2020-08-17_2020-09-19,2020-08-24_2020-09-26,2020-08-31_2020-10-03,2020-09-07_2020-10-10,2020-09-14_2020-10-17,2020-09-21_2020-10-24,2020-09-28_2020-10-31,2020-10-05_2020-11-07,2020-10-12_2020-11-14,2020-10-19_2020-11-21,2020-10-26_2020-11-28,2020-11-02_2020-12-05,2020-11-09_2020-12-12,2020-11-16_2020-12-19,2020-11-23_2020-12-26,2020-11-30_2021-01-02,2020-12-07_2021-01-09,2020-12-14_2021-01-16,2020-12-21_2021-01-23,2020-12-28_2021-01-30,2021-01-04_2021-02-06
num_states,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-BPagano-RtDriven,,,,,,,,,,,,,,,,51,51,51,51,51,,,,,,,
num_states_with_projections-COVIDhub-baseline,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CU-select,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Columbia_UNC-SurvCon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Covid19Sim-Simulator,51,51,51,51,51,,16,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,51,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,,,51,51,51,51,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-IowaStateLW-STEM,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-JHU_IDD-CovidSP,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51
num_states_with_projections-Karlen-pypm,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,51,51,,,,,
num_states_with_projections-QJHong-Encounter,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
